"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"0400000US12","Florida","7905832","23042","6875957","29592","12091","2019","6863866","29593","6193363","27771","881373","16168","5744928","30478","595277","16432","468449","12307","33295","3160","5717","1605","221940","9450","807935","18739",
"0500000US12001","Alachua County, Florida","103024","2847","91042","2978","350","319","90692","2916","84507","2861","12464","2359","74149","3320","5944","1639","6144","1310","89","107","0","234","3544","845","8438","1695",
"0500000US12005","Bay County, Florida","69195","2744","61465","3002","108","137","61357","2984","56277","2983","9866","2063","49163","2717","4402","1147","3341","977","194","185","0","234","1216","561","6514","1696",
"0500000US12009","Brevard County, Florida","230043","4772","207156","4840","460","350","206696","4819","182966","4826","20819","2344","180050","5513","20704","2552","13830","1881","1447","658","0","234","4338","1221","18549","2309",
"0500000US12011","Broward County, Florida","705472","7707","622173","8249","525","315","621648","8296","572170","8272","73747","5174","532636","8729","42111","4228","50432","4668","2388","923","622","392","19391","2996","63908","5012",
"0500000US12015","Charlotte County, Florida","76589","3272","67434","3446","41","67","67393","3442","60543","3656","8728","1520","56384","3131","5848","1245","5140","1008","414","329","40","64","1374","530","7781","1423",
"0500000US12017","Citrus County, Florida","64448","2659","55736","2853","355","288","55381","2876","46571","2820","6534","1540","45862","3120","7774","1237","3195","868","596","400","331","527","1757","908","6955","1300",
"0500000US12019","Clay County, Florida","75793","1945","71165","2250","76","103","71089","2252","67970","2486","7602","1588","58715","2511","2679","905","6967","1556","304","350","86","161","1137","746","3491","1031",
"0500000US12021","Collier County, Florida","140578","5062","125181","5289","395","465","124786","5170","115195","5092","12461","1973","110395","5107","8799","1582","7101","1716","174","217","0","234","4900","1166","10497","2300",
"0500000US12023","Columbia County, Florida","25240","1483","20768","1728","47","80","20721","1729","19072","1779","4612","929","13049","1466","1457","534","2811","834","99","135","0","234","1094","723","3378","1146",
"0500000US12031","Duval County, Florida","368668","4596","326108","5514","167","169","325941","5493","291594","6949","63975","5186","252772","6322","31140","3935","17606","2247","1499","641","68","111","9240","2060","33320","3665",
"0500000US12033","Escambia County, Florida","120618","3101","101562","3579","226","181","101336","3616","92544","3721","9808","1700","88567","3571","7808","1401","6534","1307","610","410","26","44","2099","888","16957","2207",
"0500000US12035","Flagler County, Florida","44464","1735","33952","1885","0","234","33952","1885","28592","1893","4974","1134","26963","2180","4375","1012","3157","681","341","248","331","530","6489","1553","4023","1019",
"0500000US12053","Hernando County, Florida","78755","1776","71311","2037","50","84","71261","2048","60303","2571","7500","1328","59855","2561","9483","1690","5975","1352","748","520","208","228","1680","711","5764","1209",
"0500000US12055","Highlands County, Florida","43351","2443","34105","2548","99","159","34006","2551","25055","2084","5157","1115","26498","2276","7296","1541","4020","877","631","339","0","234","806","499","8440","1495",
"0500000US12057","Hillsborough County, Florida","541584","4189","493267","5071","283","237","492984","5045","466572","5588","65535","3832","415018","5645","23519","1855","18330","2053","981","433","676","353","9595","1883","38722","3248",
"0500000US12061","Indian River County, Florida","63917","2654","54014","2859","272","231","53742","2871","44288","2828","6076","1143","45078","2691","8490","1867","4623","1139","348","271","0","234","1618","909","8285","1798",
"0500000US12069","Lake County, Florida","139192","3527","121845","4048","181","169","121664","4056","108171","4105","11380","1844","104473","4536","11204","1860","12770","1814","903","562","0","234","3228","1253","14119","2791",
"0500000US12071","Lee County, Florida","286887","5798","258030","6330","322","239","257708","6318","239472","6254","32487","3174","217867","6094","15857","2190","16704","1935","923","583","118","149","7572","1229","21285","2942",
