"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"0400000US12","Florida","7905832","23042","485909","10545","3071767","23826","3018675","25524","961765","18108","367716","10463","2264095","24914","311088","9522","1665770","21722","235453","8870","37826","3724","13958","2447","2955262","23167","106423","5523","929024","17209","1602327","19317","260113","9059","57375","3984","1196322","19802","34756","3921","261407","11852","523115","11499","307492","9664","69552","5002","1490153","19039","33642","3547","215566","8449","657780","16041","356334","10220","226831","8167",
"0500000US12001","Alachua County, Florida","103024","2847","7988","1814","41816","3301","37168","2559","11375","1980","4677","1185","37399","3121","5478","1367","28207","2683","3236","904","281","230","197","198","36822","3178","1746","918","8983","1882","21328","2274","3704","973","1061","635","14003","2141","707","508","2980","1097","5761","1204","3742","1162","813","520","14800","1975","57","98","1646","805","6843","1249","3648","1099","2606","862",
"0500000US12005","Bay County, Florida","69195","2744","2648","919","23123","2252","31267","2509","8443","1311","3714","969","19039","2443","1256","644","15128","2369","2204","798","239","227","212","227","27383","2744","549","312","6158","1485","16677","1907","3175","969","824","454","11265","2265","418","394","1172","599","5643","1728","2802","821","1230","715","11508","1643","425","383","665","388","6743","1464","2227","842","1448","577",
"0500000US12009","Brevard County, Florida","230043","4772","9678","1362","89614","4035","90201","5112","29477","2952","11073","2068","78916","4750","6868","1198","57351","4326","12225","2169","1748","1257","724","538","87922","4536","1623","641","22365","2271","51173","3501","9836","1647","2925","981","31905","3539","379","253","5845","1727","12474","2057","10151","1835","3056","1175","31300","3040","808","538","4053","1289","14329","2372","7742","1855","4368","1094",
"0500000US12011","Broward County, Florida","705472","7707","54552","4334","276365","9807","263588","8437","81619","5802","29348","2618","211605","7592","34243","3309","156609","6731","17439","2460","2919","1008","395","275","235074","8231","12768","2424","71695","5005","130477","6615","17127","2708","3007","906","114568","5902","4230","1258","28085","3803","47354","4138","28976","2765","5923","1436","144225","6599","3311","1367","19976","3194","68318","5093","32597","3621","20023","2484",
"0500000US12015","Charlotte County, Florida","76589","3272","4855","976","31585","2710","30649","2604","7137","1488","2363","827","23687","2323","3249","950","17413","2224","2387","798","475","411","163","165","38862","2574","1194","550","12453","1808","21886","1961","2680","827","649","397","7348","1397","365","314","1041","640","3578","1110","1832","548","532","451","6692","1335","47","82","678","421","2798","788","2150","842","1019","455",
"0500000US12017","Citrus County, Florida","64448","2659","3228","1083","25271","2711","25793","2903","7595","1674","2561","854","17686","2493","2627","1061","12220","1914","2339","969","500","392","0","234","32864","2299","546","425","9861","1469","17601","2306","3833","1259","1023","521","7234","1575","0","234","2091","884","2853","1007","1663","706","627","336","6664","1616","55","93","1099","945","3000","992","1599","767","911","558",
"0500000US12019","Clay County, Florida","75793","1945","3334","1083","18850","2591","34323","3018","13297","2081","5989","1228","13642","2028","1744","648","9268","1784","2325","1022","40","67","265","289","26529","2529","859","597","5956","1444","16765","2415","2825","815","124","156","13983","2390","594","447","2259","1303","5701","1570","3846","1066","1583","646","21639","2583","137","174","1367","745","9532","1922","6586","1875","4017","1136",
"0500000US12021","Collier County, Florida","140578","5062","7060","1820","55860","3626","56799","4349","15387","2604","5472","1611","36328","3430","3890","1307","28336","3117","3826","1054","276","269","0","234","66140","4134","2061","877","23282","2911","35018","3697","5043","1426","736","429","16838","2510","528","513","2353","939","7720","1837","5493","1796","744","636","21272","2770","581","410","1889","825","10235","1924","4575","1198","3992","1349",
